epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,217.105,1.33424,2.95175,1.07182,0.65035,0.3205,0.27377,0.1594,1.24475,3.14642,1.0898,0.000405093,0.000405093,0.000405093
2,434.774,1.27678,2.00358,1.08595,0.50132,0.47069,0.31942,0.18567,1.23519,2.13722,1.12594,0.000805488,0.000805488,0.000805488
3,651.895,1.2647,1.93056,1.09933,0.512,0.48923,0.31919,0.18101,1.24425,2.08527,1.13223,0.00118938,0.00118938,0.00118938
4,862.088,1.24124,1.85263,1.09183,0.75614,0.34329,0.31794,0.19716,1.18909,1.86009,1.11777,0.00117575,0.00117575,0.00117575
5,1071.48,1.23576,1.8274,1.07343,0.51865,0.45111,0.32681,0.19224,1.23432,1.88903,1.12377,0.001151,0.001151,0.001151
6,1279.45,1.21191,1.8333,1.07534,0.69464,0.46664,0.34815,0.21019,1.18976,1.86981,1.13008,0.00112625,0.00112625,0.00112625
7,1488.08,1.21385,1.79458,1.07342,0.6052,0.46891,0.38428,0.23324,1.17906,1.77506,1.14154,0.0011015,0.0011015,0.0011015
8,1693.94,1.19469,1.75208,1.06549,0.62074,0.4533,0.38402,0.23461,1.16714,1.77176,1.11884,0.00107675,0.00107675,0.00107675
9,1897.86,1.18389,1.73982,1.06527,0.61501,0.46658,0.40244,0.24106,1.13906,1.70861,1.09431,0.001052,0.001052,0.001052
10,2103.29,1.17059,1.71637,1.06461,0.64629,0.46827,0.44108,0.25941,1.18361,1.74738,1.13383,0.00102725,0.00102725,0.00102725
11,2312.03,1.16122,1.67678,1.06658,0.61256,0.48873,0.42888,0.25666,1.14988,1.69119,1.12303,0.0010025,0.0010025,0.0010025
12,2520.78,1.17821,1.65595,1.06859,0.60833,0.4266,0.4073,0.24384,1.16088,1.72194,1.12062,0.00097775,0.00097775,0.00097775
13,2729.04,1.16922,1.65977,1.0723,0.61511,0.45122,0.42251,0.2601,1.16961,1.64195,1.13118,0.000953,0.000953,0.000953
14,2937.15,1.15588,1.61965,1.06761,0.55144,0.54971,0.41739,0.25722,1.17733,1.72776,1.12196,0.00092825,0.00092825,0.00092825
15,3157.97,1.15313,1.63363,1.06261,0.65102,0.50464,0.41557,0.24821,1.17364,1.68219,1.13192,0.0009035,0.0009035,0.0009035
16,3377.73,1.15714,1.57891,1.05689,0.66458,0.45767,0.44405,0.27778,1.13033,1.61524,1.11968,0.00087875,0.00087875,0.00087875
17,3595.26,1.13379,1.56089,1.04342,0.65957,0.4709,0.44928,0.27422,1.16688,1.71048,1.15382,0.000854,0.000854,0.000854
18,3816.53,1.1371,1.57038,1.06056,0.37486,0.59526,0.44069,0.27201,1.1235,1.63076,1.10496,0.00082925,0.00082925,0.00082925
19,4033.1,1.12491,1.56504,1.05304,0.61146,0.46468,0.42697,0.26704,1.12859,1.57092,1.12512,0.0008045,0.0008045,0.0008045
20,4251.66,1.1061,1.52103,1.04174,0.39278,0.58094,0.44935,0.27447,1.13365,1.58218,1.12072,0.00077975,0.00077975,0.00077975
21,4467.54,1.12023,1.49668,1.04646,0.40338,0.55945,0.4269,0.2635,1.1343,1.6108,1.12201,0.000755,0.000755,0.000755
22,4684.91,1.10716,1.49876,1.0375,0.39052,0.55803,0.4474,0.28102,1.14989,1.55006,1.12374,0.00073025,0.00073025,0.00073025
23,4902.36,1.08818,1.5031,1.04661,0.37626,0.55764,0.41861,0.26064,1.15039,1.55208,1.12808,0.0007055,0.0007055,0.0007055
