epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,392.952,2.87834,4.14858,2.12461,0.61012,0.21765,0.16048,0.06375,2.08607,3.58623,1.58119,0.00025823,0.00025823,0.00025823
2,781.474,1.97593,2.69771,1.33817,0.37688,0.58132,0.39652,0.18292,1.80284,5.50386,1.37194,0.000514399,0.000514399,0.000514399
3,1171.36,1.86406,1.84978,1.30907,0.43712,0.69992,0.57285,0.28921,1.67917,1.71077,1.25106,0.000760013,0.000760013,0.000760013
4,1558.51,1.74849,1.55693,1.2603,0.61438,0.76364,0.74646,0.3814,1.6118,1.33222,1.27369,0.00078352,0.00078352,0.00078352
5,1938.91,1.66105,1.41529,1.25656,0.654,0.82516,0.80431,0.42071,1.55054,1.28253,1.2501,0.000767026,0.000767026,0.000767026
6,2322.17,1.62425,1.31412,1.24056,0.72497,0.82223,0.84478,0.44832,1.54716,1.26249,1.24993,0.000750533,0.000750533,0.000750533
7,2705.81,1.57547,1.23945,1.22371,0.78965,0.83567,0.88581,0.48169,1.50671,1.15135,1.241,0.00073404,0.00073404,0.00073404
8,3085.07,1.56016,1.19413,1.22231,0.81289,0.873,0.89688,0.49477,1.47974,1.15999,1.21605,0.000717546,0.000717546,0.000717546
9,3479.97,1.54327,1.15321,1.20166,0.83071,0.85975,0.90373,0.49603,1.46991,1.13467,1.22319,0.000701053,0.000701053,0.000701053
10,3866.64,1.54496,1.11109,1.209,0.84143,0.88425,0.91782,0.50181,1.45416,1.08924,1.22138,0.000684559,0.000684559,0.000684559
11,4254.14,1.51107,1.08183,1.19228,0.8634,0.89482,0.93168,0.51441,1.4609,1.05407,1.2181,0.000668066,0.000668066,0.000668066
12,4641.46,1.54527,1.07154,1.19924,0.86806,0.89775,0.93225,0.51652,1.44946,0.99791,1.20662,0.000651573,0.000651573,0.000651573
13,5022.69,1.52853,1.04251,1.19818,0.87603,0.89395,0.9332,0.52285,1.42212,1.00184,1.20707,0.000635079,0.000635079,0.000635079
14,5401.59,1.51759,1.04097,1.19154,0.87079,0.8883,0.93002,0.50999,1.44166,1.03984,1.20966,0.000618586,0.000618586,0.000618586
15,5746.84,1.48136,1.00008,1.1727,0.87513,0.90395,0.93776,0.5315,1.40542,0.95592,1.20022,0.000602092,0.000602092,0.000602092
16,5951.56,1.46244,0.97903,1.1783,0.87988,0.89455,0.93228,0.51923,1.44574,0.94634,1.21411,0.000585599,0.000585599,0.000585599
17,6152.46,1.49737,0.99571,1.17273,0.91108,0.91278,0.94643,0.52923,1.42508,0.94626,1.20731,0.000569106,0.000569106,0.000569106
18,6352.6,1.47012,0.95949,1.1763,0.91135,0.91443,0.94795,0.53654,1.40087,0.90962,1.19511,0.000552612,0.000552612,0.000552612
19,6552.47,1.46517,0.94522,1.16466,0.91903,0.91985,0.9451,0.53094,1.40857,0.90938,1.19686,0.000536119,0.000536119,0.000536119
20,6761.6,1.46529,0.93971,1.16347,0.91338,0.92058,0.94237,0.52964,1.40472,0.89078,1.19573,0.000519625,0.000519625,0.000519625
21,6968.69,1.4581,0.93547,1.16516,0.89561,0.90146,0.93608,0.50255,1.46706,0.92604,1.22962,0.000503132,0.000503132,0.000503132
22,7169.98,1.42774,0.90892,1.15602,0.90315,0.90411,0.93531,0.51296,1.45037,0.89599,1.21425,0.000486639,0.000486639,0.000486639
23,7373.2,1.42674,0.91425,1.15645,0.9139,0.917,0.93882,0.50891,1.47288,0.89135,1.23681,0.000470145,0.000470145,0.000470145
24,7580.85,1.4273,0.88621,1.14881,0.90589,0.91841,0.93901,0.51727,1.42574,0.87974,1.21453,0.000453652,0.000453652,0.000453652
25,7785.74,1.42406,0.89619,1.16203,0.91097,0.92064,0.94581,0.51317,1.46633,0.87162,1.23202,0.000437158,0.000437158,0.000437158
26,7988.61,1.39482,0.86741,1.14049,0.9148,0.92015,0.94237,0.51484,1.44491,0.88698,1.21857,0.000420665,0.000420665,0.000420665
27,8197.31,1.43614,0.89486,1.15499,0.89247,0.90835,0.93578,0.52281,1.41824,0.8777,1.20851,0.000404172,0.000404172,0.000404172
