epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,356.826,1.8264,3.02092,1.82472,0.3733,0.88849,0.49396,0.29272,1.37836,2.70866,1.22297,0.000404762,0.000404762,0.000404762
2,742.259,1.27272,1.55614,1.23551,0.49307,0.99093,0.54247,0.33253,1.29556,1.47955,1.1288,0.000805164,0.000805164,0.000805164
3,1150.69,1.18496,1.39856,1.1673,0.49604,0.99971,0.51403,0.31624,1.28111,1.42758,1.13926,0.00118907,0.00118907,0.00118907
4,1530.35,1.15706,1.32541,1.14388,0.4966,0.98741,0.54355,0.36708,1.11666,1.3058,1.04987,0.00117575,0.00117575,0.00117575
5,1924.87,1.10809,1.25306,1.12688,0.49693,0.9962,0.60098,0.41394,1.07673,1.19024,1.04847,0.001151,0.001151,0.001151
6,2321.22,1.12522,1.2165,1.13456,0.50201,1,0.56,0.38609,1.08098,1.20301,1.07189,0.00112625,0.00112625,0.00112625
7,2701.15,1.09226,1.15611,1.10393,0.49849,1,0.57246,0.39621,1.07982,1.17074,1.07432,0.0011015,0.0011015,0.0011015
8,3078.68,1.08502,1.13204,1.10864,0.49852,1,0.5529,0.39239,1.00137,1.21816,1.06974,0.00107675,0.00107675,0.00107675
9,3457.6,1.08631,1.08648,1.11649,0.71892,0.86145,0.88963,0.6347,1.04313,0.9718,1.04589,0.001052,0.001052,0.001052
10,3849.3,1.03668,1.01424,1.0893,0.96542,0.97771,0.99,0.71124,1.03287,0.73792,1.06235,0.00102725,0.00102725,0.00102725
11,4221.09,1.06558,1.0036,1.09844,0.46654,0.9567,0.47802,0.27737,1.43563,1.45163,1.17656,0.0010025,0.0010025,0.0010025
12,4593.84,1.05214,0.94213,1.09351,0.74125,0.92521,0.88067,0.63618,0.98965,0.86243,1.04019,0.00097775,0.00097775,0.00097775
13,4972.13,1.01021,0.84022,1.07952,0.78006,0.94145,0.91915,0.65649,1.06071,0.80789,1.063,0.000953,0.000953,0.000953
14,5350.84,1.01803,0.80045,1.0871,0.81459,0.89451,0.90213,0.65591,0.98297,0.86884,1.04474,0.00092825,0.00092825,0.00092825
15,5726.21,1.00504,0.72221,1.0807,0.95328,0.92569,0.97933,0.59087,1.37566,0.75892,1.17634,0.0009035,0.0009035,0.0009035
16,6106.46,1.0053,0.69126,1.08168,0.9964,0.98888,0.99498,0.72923,0.98513,0.54744,1.04459,0.00087875,0.00087875,0.00087875
17,6486.63,1.03117,0.70453,1.09166,0.97336,0.98447,0.99367,0.68161,1.13782,0.61298,1.15493,0.000854,0.000854,0.000854
18,6862.87,1.04757,0.70229,1.09471,0.93226,0.9116,0.98189,0.7185,0.99897,0.6471,1.04417,0.00082925,0.00082925,0.00082925
19,7236.22,1.02411,0.67219,1.08826,0.99659,0.99524,0.99498,0.73009,1.01492,0.50656,1.02384,0.0008045,0.0008045,0.0008045
20,7604.43,0.99955,0.64572,1.08454,0.97228,0.97015,0.99372,0.72825,1.00792,0.55747,1.05708,0.00077975,0.00077975,0.00077975
21,7977.43,0.99511,0.60179,1.07614,0.9364,0.91779,0.99032,0.72398,1.00068,0.65888,1.07885,0.000755,0.000755,0.000755
22,8347.21,0.96988,0.58201,1.06338,0.9138,0.92358,0.95736,0.6957,1.00624,0.63906,1.05313,0.00073025,0.00073025,0.00073025
23,8715.33,0.98608,0.59413,1.06717,0.99016,0.99441,0.99464,0.73166,0.99373,0.51321,1.05321,0.0007055,0.0007055,0.0007055
24,9083.53,0.999,0.58063,1.06788,0.9766,0.97797,0.99051,0.71978,1.0273,0.54799,1.06206,0.00068075,0.00068075,0.00068075
25,9457.48,0.96093,0.55636,1.06911,0.97896,0.98167,0.9945,0.73514,0.96668,0.51922,1.03969,0.000656,0.000656,0.000656
26,9827.75,0.97542,0.56147,1.07144,0.9922,0.99076,0.99495,0.74255,0.95134,0.46329,1.03333,0.00063125,0.00063125,0.00063125
27,10199,0.94888,0.54494,1.0549,0.99632,0.99975,0.995,0.73352,0.97685,0.46914,1.04262,0.0006065,0.0006065,0.0006065
28,10569.6,0.94719,0.54175,1.05832,0.98603,0.98275,0.99427,0.74294,0.95235,0.47243,1.03398,0.00058175,0.00058175,0.00058175
29,10955.9,0.9261,0.52843,1.05051,0.83053,0.87975,0.95371,0.7157,0.9477,0.73341,1.01894,0.000557,0.000557,0.000557
30,11336.3,0.92827,0.51337,1.0484,0.93734,0.9722,0.99181,0.74012,0.95358,0.62474,1.0619,0.00053225,0.00053225,0.00053225
31,11721.9,0.93899,0.50906,1.05902,0.982,0.99749,0.99493,0.74835,0.95965,0.45868,1.04491,0.0005075,0.0005075,0.0005075
32,12099.3,0.93429,0.50354,1.04871,0.9722,0.92749,0.99084,0.74077,0.95212,0.61616,1.04191,0.00048275,0.00048275,0.00048275
